Week,learn python: (Worldwide),learn piano: (Worldwide),learn german: (Worldwide)
2017-05-21,61,47,41
2017-05-28,57,44,43
2017-06-04,56,46,42
2017-06-11,63,44,48
2017-06-18,59,41,45
2017-06-25,56,35,47
2017-07-02,57,51,48
2017-07-09,64,41,48
2017-07-16,62,44,48
2017-07-23,62,43,47
2017-07-30,63,45,46
2017-08-06,58,40,40
2017-08-13,63,40,40
2017-08-20,62,42,41
2017-08-27,52,40,42
2017-09-03,64,40,39
2017-09-10,58,46,47
2017-09-17,61,44,46
2017-09-24,66,42,51
2017-10-01,61,44,41
2017-10-08,59,42,43
2017-10-15,58,44,49
2017-10-22,55,43,43
2017-10-29,54,42,39
2017-11-05,63,47,45
2017-11-12,59,43,48
2017-11-19,62,45,40
2017-11-26,65,46,44
2017-12-03,63,49,49
2017-12-10,62,54,39
2017-12-17,59,51,35
2017-12-24,57,67,38
2017-12-31,59,61,42
2018-01-07,65,52,46
2018-01-14,66,44,47
2018-01-21,65,49,50
2018-01-28,64,48,46
2018-02-04,62,44,44
2018-02-11,58,42,44
2018-02-18,56,43,38
2018-02-25,61,41,39
2018-03-04,59,44,41
2018-03-11,67,41,41
2018-03-18,60,48,44
2018-03-25,60,47,42
2018-04-01,60,43,43
2018-04-08,59,42,43
2018-04-15,66,39,40
2018-04-22,60,39,41
2018-04-29,59,41,39
2018-05-06,64,37,41
2018-05-13,61,37,43
2018-05-20,66,42,38
2018-05-27,61,37,40
2018-06-03,65,42,39
2018-06-10,59,34,42
2018-06-17,61,36,46
2018-06-24,67,35,37
2018-07-01,62,38,43
2018-07-08,63,37,45
2018-07-15,61,38,48
2018-07-22,69,36,38
2018-07-29,70,42,42
2018-08-05,68,42,44
2018-08-12,61,40,38
2018-08-19,64,41,39
2018-08-26,61,43,43
2018-09-02,63,41,48
2018-09-09,61,42,40
2018-09-16,60,43,44
2018-09-23,65,39,40
2018-09-30,62,42,46
2018-10-07,64,39,41
2018-10-14,62,42,39
2018-10-21,60,42,37
2018-10-28,58,40,36
2018-11-04,59,45,36
2018-11-11,61,43,37
2018-11-18,52,51,38
2018-11-25,59,52,41
2018-12-02,63,54,41
2018-12-09,64,52,37
2018-12-16,58,53,34
2018-12-23,50,70,38
2018-12-30,54,62,42
2019-01-06,59,50,47
2019-01-13,59,56,43
2019-01-20,59,48,41
2019-01-27,68,46,40
2019-02-03,63,43,42
2019-02-10,61,43,45
2019-02-17,66,51,39
2019-02-24,63,47,37
2019-03-03,55,46,40
2019-03-10,60,38,39
2019-03-17,58,42,33
2019-03-24,59,39,39
2019-03-31,60,38,43
2019-04-07,66,42,38
2019-04-14,60,39,38
2019-04-21,62,34,39
2019-04-28,59,39,40
2019-05-05,63,39,37
2019-05-12,66,34,35
2019-05-19,64,34,42
2019-05-26,69,38,38
2019-06-02,66,42,33
2019-06-09,72,39,41
2019-06-16,71,40,38
2019-06-23,68,41,42
2019-06-30,64,39,40
2019-07-07,75,38,44
2019-07-14,67,38,41
2019-07-21,71,44,39
2019-07-28,71,38,37
2019-08-04,66,33,34
2019-08-11,69,41,41
2019-08-18,78,41,48
2019-08-25,65,38,40
2019-09-01,74,40,45
2019-09-08,73,48,46
2019-09-15,76,42,44
2019-09-22,69,41,48
2019-09-29,67,41,43
2019-10-06,65,40,36
2019-10-13,71,39,42
2019-10-20,63,41,39
2019-10-27,66,38,40
2019-11-03,67,48,42
2019-11-10,68,41,48
2019-11-17,69,41,40
2019-11-24,64,46,39
2019-12-01,69,47,40
2019-12-08,64,42,34
2019-12-15,71,46,40
2019-12-22,64,60,39
2019-12-29,56,56,41
2020-01-05,77,52,41
2020-01-12,69,47,44
2020-01-19,71,42,43
2020-01-26,69,42,40
2020-02-02,68,47,39
2020-02-09,71,40,39
2020-02-16,73,43,40
2020-02-23,72,40,42
2020-03-01,64,44,38
2020-03-08,59,38,34
2020-03-15,70,67,42
2020-03-22,79,96,48
2020-03-29,86,100,46
2020-04-05,79,89,45
2020-04-12,84,96,54
2020-04-19,81,82,46
2020-04-26,84,81,49
2020-05-03,80,69,47
2020-05-10,74,67,45
2020-05-17,79,67,43
2020-05-24,75,55,41
2020-05-31,67,51,42
2020-06-07,75,54,44
2020-06-14,72,51,44
2020-06-21,70,52,45
2020-06-28,79,50,43
2020-07-05,76,50,41
2020-07-12,78,49,43
2020-07-19,75,44,47
2020-07-26,73,50,42
2020-08-02,67,49,40
2020-08-09,73,48,40
2020-08-16,70,44,40
2020-08-23,70,43,43
2020-08-30,71,49,42
2020-09-06,67,49,39
2020-09-13,64,43,44
2020-09-20,62,46,43
2020-09-27,61,44,37
2020-10-04,62,43,40
2020-10-11,50,43,38
2020-10-18,55,42,38
2020-10-25,52,39,34
2020-11-01,42,41,28
2020-11-08,52,44,35
2020-11-15,53,45,41
2020-11-22,51,42,35
2020-11-29,50,44,34
2020-12-06,54,43,35
2020-12-13,52,42,36
2020-12-20,48,56,34
2020-12-27,54,67,36
2021-01-03,58,58,42
2021-01-10,56,52,37
2021-01-17,49,43,38
2021-01-24,50,49,35
2021-01-31,51,47,40
2021-02-07,51,46,33
2021-02-14,54,40,33
2021-02-21,46,39,35
2021-02-28,51,39,32
2021-03-07,47,40,34
2021-03-14,48,38,33
2021-03-21,54,34,34
2021-03-28,50,36,29
2021-04-04,53,35,35
2021-04-11,48,35,41
2021-04-18,51,38,32
2021-04-25,57,35,34
2021-05-02,53,36,31
2021-05-09,61,36,33
2021-05-16,58,35,32
2021-05-23,57,36,39
2021-05-30,62,36,36
2021-06-06,53,33,34
2021-06-13,59,34,30
2021-06-20,55,32,32
2021-06-27,52,34,32
2021-07-04,57,36,32
2021-07-11,62,34,34
2021-07-18,54,35,34
2021-07-25,56,31,37
2021-08-01,51,29,33
2021-08-08,51,32,33
2021-08-15,52,38,30
2021-08-22,53,31,37
2021-08-29,49,31,36
2021-09-05,52,34,41
2021-09-12,50,37,34
2021-09-19,58,38,38
2021-09-26,55,34,35
2021-10-03,50,33,39
2021-10-10,50,36,35
2021-10-17,55,32,32
2021-10-24,54,34,34
2021-10-31,50,42,33
2021-11-07,53,38,36
2021-11-14,53,37,38
2021-11-21,51,40,33
2021-11-28,52,40,32
2021-12-05,58,43,30
2021-12-12,57,41,36
2021-12-19,51,51,34
2021-12-26,52,60,32
2022-01-02,59,49,35
2022-01-09,54,48,37
2022-01-16,59,39,34
2022-01-23,57,38,36
2022-01-30,54,40,37
2022-02-06,58,41,35
2022-02-13,53,38,35
2022-02-20,54,37,33
2022-02-27,56,34,36
2022-03-06,55,35,33
2022-03-13,49,31,31
2022-03-20,57,31,37
2022-03-27,52,33,32
2022-04-03,58,34,30
2022-04-10,52,34,33
2022-04-17,54,35,32
2022-04-24,55,28,30
2022-05-01,53,33,35
2022-05-08,53,31,34
2022-05-15,0,0,0
